F0,F1,F2,F3,S0,S1,S2,S3,M0,M1,M2,M3
"x: -0.017310316
y: 0.043859184
z: 0.044325426
","x: -0.039309558
y: 0.04042166
z: 0.025102781
","x: -0.06507519
y: 0.03353299
z: -0.010884817
","x: -0.09075933
y: 0.027272668
z: -0.0212572
","x: -0.016500035
y: -0.0046017272
z: -0.0034836275
","x: -0.025053537
y: -0.03090529
z: -0.009917509
","x: -0.027446736
y: -0.04685131
z: -0.021126406
","x: -0.027500793
y: -0.06180211
z: -0.048438337
","x: -0.0011984371
y: -0.0035319233
z: -0.0011754321
","x: 0.009923342
y: -0.026903605
z: -0.017455444
","x: 0.026219858
y: -0.041543607
z: -0.03836146
","x: 0.0406567
y: -0.056982845
z: -0.07405029
"
"x: -0.016597243
y: 0.043235462
z: 0.0473275
","x: -0.039312672
y: 0.03907491
z: 0.02852331
","x: -0.0643581
y: 0.032882113
z: -0.010473892
","x: -0.088647425
y: 0.025922349
z: -0.02324208
","x: -0.015254028
y: -0.006088652
z: -0.0028432882
","x: -0.024427867
y: -0.034633018
z: -0.0082211485
","x: -0.027267305
y: -0.05108964
z: -0.017962605
","x: -0.026393564
y: -0.06816499
z: -0.043579
","x: -0.0006256498
y: -0.004046261
z: -0.0009779402
","x: 0.010278861
y: -0.027562879
z: -0.017894272
","x: 0.026720762
y: -0.040988643
z: -0.038301323
","x: 0.041368295
y: -0.056967802
z: -0.075587064
"
"x: -0.016539026
y: 0.0436169
z: 0.047712836
","x: -0.039161265
y: 0.03932666
z: 0.028261324
","x: -0.06504572
y: 0.0325821
z: -0.010528774
","x: -0.090354525
y: 0.027683621
z: -0.02429095
","x: -0.015641797
y: -0.00667028
z: -0.0023027721
","x: -0.025104854
y: -0.035954356
z: -0.008930279
","x: -0.027899068
y: -0.052493937
z: -0.019699138
","x: -0.027969707
y: -0.0697249
z: -0.047272492
","x: -0.00095409964
y: -0.00432893
z: -0.0010330245
","x: 0.010084702
y: -0.027601194
z: -0.017980285
","x: 0.025726344
y: -0.041206885
z: -0.038955994
","x: 0.0406765
y: -0.057490833
z: -0.07430969
"
"x: -0.015556253
y: 0.044306763
z: 0.045440502
","x: -0.039128557
y: 0.039999176
z: 0.02756553
","x: -0.065187916
y: 0.03331528
z: -0.01144645
","x: -0.09067262
y: 0.027595783
z: -0.02430385
","x: -0.015329352
y: -0.006634777
z: -0.0028962009
","x: -0.025095413
y: -0.03524887
z: -0.0074853804
","x: -0.028371785
y: -0.052004613
z: -0.017561134
","x: -0.027525779
y: -0.06879764
z: -0.043110855
","x: -0.00049850624
y: -0.003710449
z: -0.0010575595
","x: 0.0106378645
y: -0.027531639
z: -0.017334376
","x: 0.027655873
y: -0.04064324
z: -0.038402256
","x: 0.040997997
y: -0.056300156
z: -0.0737507
"
"x: -0.016151423
y: 0.043046355
z: 0.04713138
","x: -0.039196
y: 0.03816552
z: 0.028358683
","x: -0.06533142
y: 0.031790156
z: -0.010733333
","x: -0.09034718
y: 0.02613948
z: -0.023507878
","x: -0.014665791
y: -0.0073786364
z: -0.002208976
","x: -0.024411956
y: -0.036824197
z: -0.008169988
","x: -0.027427172
y: -0.05392343
z: -0.018273817
","x: -0.02661816
y: -0.071392275
z: -0.04537365
","x: -0.0005710459
y: -0.0045012077
z: -0.00084105274
","x: 0.010480501
y: -0.027653225
z: -0.01771084
","x: 0.026872668
y: -0.039916236
z: -0.03887459
","x: 0.04092525
y: -0.056298
z: -0.075717114
"
"x: -0.016241807
y: 0.0434355
z: 0.045473218
","x: -0.039588034
y: 0.0384725
z: 0.026222765
","x: -0.065911435
y: 0.031882197
z: -0.011588379
","x: -0.09131391
y: 0.025969673
z: -0.025448428
","x: -0.014938533
y: -0.0070319967
z: -0.0015934779
","x: -0.024001066
y: -0.035889115
z: -0.007247683
","x: -0.02700742
y: -0.05416947
z: -0.018155375
","x: -0.026051905
y: -0.07139842
z: -0.044946585
","x: -0.00040266354
y: -0.0038351284
z: -0.0008238998
","x: 0.010929833
y: -0.027045874
z: -0.01716973
","x: 0.026994132
y: -0.03921105
z: -0.038798183
","x: 0.040369753
y: -0.05537837
z: -0.07371392
"
"x: -0.01597439
y: 0.04429099
z: 0.045370724
","x: -0.03918925
y: 0.038988806
z: 0.02699375
","x: -0.064808816
y: 0.030964509
z: -0.011632713
","x: -0.089758165
y: 0.024455898
z: -0.024346434
","x: -0.014809222
y: -0.007675915
z: -0.0030266612
","x: -0.023955574
y: -0.036996387
z: -0.007718477
","x: -0.026547786
y: -0.054004375
z: -0.017986434
","x: -0.024328604
y: -0.07083902
z: -0.043642025
","x: -0.00039774616
y: -0.004663293
z: -0.0009073841
","x: 0.010908251
y: -0.02807634
z: -0.016671801
","x: 0.027316153
y: -0.039942026
z: -0.03766539
","x: 0.041950323
y: -0.055527754
z: -0.07526528
"
"x: -0.01717478
y: 0.044142075
z: 0.04464031
","x: -0.042380102
y: 0.037729174
z: 0.025324397
","x: -0.068117306
y: 0.028606232
z: -0.010525968
","x: -0.092393585
y: 0.020037664
z: -0.023251938
","x: -0.016002115
y: -0.006761146
z: -0.0031632567
","x: -0.02306918
y: -0.03470191
z: -0.009253994
","x: -0.025772693
y: -0.05299693
z: -0.018535767
","x: -0.023306364
y: -0.070054285
z: -0.04599304
","x: -0.0005919512
y: -0.004346591
z: -0.0007066267
","x: 0.010665976
y: -0.024938405
z: -0.017855601
","x: 0.025836268
y: -0.036814872
z: -0.038367454
","x: 0.040581778
y: -0.052378673
z: -0.074105226
"
"x: -0.017862357
y: 0.043692674
z: 0.045688957
","x: -0.04259623
y: 0.03737428
z: 0.026282396
","x: -0.068469234
y: 0.027973205
z: -0.009961458
","x: -0.09276974
y: 0.019371107
z: -0.022605767
","x: -0.016227722
y: -0.0064622452
z: -0.0031113825
","x: -0.02380077
y: -0.033917062
z: -0.009258037
","x: -0.02624897
y: -0.05288738
z: -0.01921405
","x: -0.023747168
y: -0.07095343
z: -0.047308635
","x: -0.0007702621
y: -0.004463152
z: -0.0007945911
","x: 0.009788911
y: -0.025214417
z: -0.017870208
","x: 0.025163129
y: -0.035967834
z: -0.040336564
","x: 0.03933392
y: -0.051666167
z: -0.07631674
"
"x: -0.018021327
y: 0.042814918
z: 0.043512385
","x: -0.04244773
y: 0.036158536
z: 0.025003392
","x: -0.067222044
y: 0.026848627
z: -0.009420314
","x: -0.09207307
y: 0.018185785
z: -0.021753568
","x: -0.015964987
y: -0.0058258804
z: -0.0033124003
","x: -0.023082629
y: -0.032458235
z: -0.009024413
","x: -0.025573878
y: -0.051082853
z: -0.019509144
","x: -0.023731407
y: -0.06780973
z: -0.04718454
","x: -0.000444728
y: -0.0035465246
z: -0.00089633645
","x: 0.0097127035
y: -0.023270773
z: -0.017906144
","x: 0.024539443
y: -0.03501632
z: -0.039949022
","x: 0.038031805
y: -0.050162848
z: -0.0742011
"
"x: -0.019790428
y: 0.042386267
z: 0.04503803
","x: -0.044036094
y: 0.035940453
z: 0.026169207
","x: -0.06847172
y: 0.025772411
z: -0.009268646
","x: -0.09315104
y: 0.016664125
z: -0.021536406
","x: -0.01626915
y: -0.0063281963
z: -0.0034716376
","x: -0.022993786
y: -0.03317218
z: -0.009534436
","x: -0.025760174
y: -0.051380992
z: -0.019037042
","x: -0.023451688
y: -0.06844091
z: -0.047663126
","x: -0.00043164968
y: -0.003665033
z: -0.00075124955
","x: 0.010745739
y: -0.02385167
z: -0.017631028
","x: 0.02559658
y: -0.036375348
z: -0.038426913
","x: 0.039749686
y: -0.051869128
z: -0.073757015
"
"x: -0.019858183
y: 0.042174622
z: 0.047522657
","x: -0.043873824
y: 0.035597995
z: 0.02765277
","x: -0.06850722
y: 0.024639273
z: -0.008575542
","x: -0.09298865
y: 0.015249687
z: -0.022838766
","x: -0.016395269
y: -0.007471939
z: -0.0029855468
","x: -0.0230394
y: -0.035363846
z: -0.009862518
","x: -0.025366453
y: -0.053416975
z: -0.02054715
","x: -0.023179114
y: -0.07082167
z: -0.050476067
","x: -0.0005503597
y: -0.0042772023
z: -0.0009915059
","x: 0.01040204
y: -0.025490088
z: -0.016932564
","x: 0.02494881
y: -0.037996072
z: -0.038762763
","x: 0.03891176
y: -0.052446913
z: -0.07556034
"
"x: -0.02027322
y: 0.0420437
z: 0.04615059
","x: -0.044033356
y: 0.034937434
z: 0.027728813
","x: -0.06856207
y: 0.02439129
z: -0.007885239
","x: -0.093137704
y: 0.014872445
z: -0.021322316
","x: -0.015416492
y: -0.006869646
z: -0.0026420008
","x: -0.021808635
y: -0.034349754
z: -0.009164673
","x: -0.024005318
y: -0.052538045
z: -0.019048084
","x: -0.021430345
y: -0.06846705
z: -0.048417863
","x: -0.00030330016
y: -0.004074389
z: -0.00080791826
","x: 0.010802986
y: -0.024925558
z: -0.017386692
","x: 0.02576459
y: -0.03796411
z: -0.039503526
","x: 0.03951487
y: -0.051695507
z: -0.077275746
"
"x: -0.022319563
y: 0.043276068
z: 0.044230845
","x: -0.045326576
y: 0.03397455
z: 0.026583152
","x: -0.069223665
y: 0.021256618
z: -0.006704516
","x: -0.09374896
y: 0.01082735
z: -0.019195838
","x: -0.015328543
y: -0.008408751
z: -0.0020580655
","x: -0.021714764
y: -0.035874486
z: -0.007455159
","x: -0.023610216
y: -0.05427991
z: -0.01742497
","x: -0.020941574
y: -0.07099608
z: -0.045463003
","x: -0.00013875213
y: -0.004401254
z: -0.0002666183
","x: 0.011335425
y: -0.02506034
z: -0.015985157
","x: 0.026806258
y: -0.038229052
z: -0.03659452
","x: 0.040861543
y: -0.052843846
z: -0.07086205
"
"x: -0.023406737
y: 0.04353847
z: 0.043265253
","x: -0.044937786
y: 0.033748835
z: 0.025797905
","x: -0.06755284
y: 0.019065613
z: -0.0076264148
","x: -0.09197529
y: 0.006964054
z: -0.019814638
","x: -0.014512987
y: -0.008314713
z: -0.0012061321
","x: -0.020545732
y: -0.036804594
z: -0.0074423007
","x: -0.021983285
y: -0.05392787
z: -0.017541582
","x: -0.02010517
y: -0.07073279
z: -0.04770533
","x: -6.902334e-05
y: -0.004484558
z: -0.00034221206
","x: 0.011754297
y: -0.025419805
z: -0.015730897
","x: 0.027897984
y: -0.03906627
z: -0.03799675
","x: 0.04173067
y: -0.053660955
z: -0.075141355
"
"x: -0.025425762
y: 0.043454304
z: 0.044661243
","x: -0.04542026
y: 0.030206151
z: 0.027391978
","x: -0.06738995
y: 0.011283185
z: -0.0049242117
","x: -0.09111506
y: -0.0041681277
z: -0.014244728
","x: -0.01534027
y: -0.008710504
z: -0.0006298617
","x: -0.020040054
y: -0.03619116
z: -0.009158812
","x: -0.021404821
y: -0.052746084
z: -0.018523864
","x: -0.019283919
y: -0.06901361
z: -0.0499493
","x: -0.00021925388
y: -0.0048094974
z: -0.00029989274
","x: 0.013133319
y: -0.02577347
z: -0.016402042
","x: 0.0286696
y: -0.039552327
z: -0.036808975
","x: 0.043856274
y: -0.053648327
z: -0.07251996
"
"x: -0.025052981
y: 0.044403613
z: 0.041432835
","x: -0.04515463
y: 0.030972041
z: 0.024667185
","x: -0.067092426
y: 0.0114572095
z: -0.0073249023
","x: -0.08994693
y: -0.004276648
z: -0.014011623
","x: -0.015365017
y: -0.00741171
z: -0.0015739615
","x: -0.020011758
y: -0.035132654
z: -0.00913664
","x: -0.021677623
y: -0.053068373
z: -0.018516496
","x: -0.0187223
y: -0.06894468
z: -0.049725674
","x: -0.00015862245
y: -0.0042951866
z: -0.00058244733
","x: 0.013015823
y: -0.025296684
z: -0.015397761
","x: 0.029085375
y: -0.03896966
z: -0.037482306
","x: 0.044382654
y: -0.052889317
z: -0.072989225
"
"x: -0.026199913
y: 0.043109357
z: 0.042543348
","x: -0.04622808
y: 0.030393897
z: 0.025184872
","x: -0.06840357
y: 0.010885364
z: -0.004691283
","x: -0.09156239
y: -0.0052913344
z: -0.014344436
","x: -0.015435787
y: -0.008441019
z: -0.0006391074
","x: -0.019799884
y: -0.03650255
z: -0.0073124613
","x: -0.020737242
y: -0.05400609
z: -0.016599895
","x: -0.017405752
y: -0.07062549
z: -0.04879211
","x: -3.5024015e-05
y: -0.004498661
z: -1.3523328e-05
","x: 0.013192754
y: -0.024727598
z: -0.016023742
","x: 0.028625863
y: -0.038031165
z: -0.037077937
","x: 0.043788314
y: -0.051630355
z: -0.07267957
"
"x: -0.026316354
y: 0.04219274
z: 0.0448638
","x: -0.046255216
y: 0.029059354
z: 0.027430631
","x: -0.06806561
y: 0.009399997
z: -0.0035517758
","x: -0.09090717
y: -0.0066681104
z: -0.013004646
","x: -0.01476318
y: -0.009301626
z: -0.00077754585
","x: -0.018883916
y: -0.036853146
z: -0.008230501
","x: -0.020894708
y: -0.053677436
z: -0.018704135
","x: -0.017695755
y: -0.069738194
z: -0.051125333
","x: 0.00012421876
y: -0.0046006492
z: -0.00036402573
","x: 0.012766617
y: -0.025308862
z: -0.015767407
","x: 0.02835468
y: -0.038713522
z: -0.037618883
","x: 0.04334314
y: -0.052563973
z: -0.072577626
"
"x: -0.02657267
y: 0.04237232
z: 0.043458305
","x: -0.045007568
y: 0.028879045
z: 0.026863875
","x: -0.06688117
y: 0.009367347
z: -0.0048928894
","x: -0.09034159
y: -0.006997682
z: -0.013522813
","x: -0.014674277
y: -0.009101467
z: -0.0006162815
","x: -0.019956168
y: -0.036918588
z: -0.007887255
","x: -0.021271097
y: -0.05477854
z: -0.019436516
","x: -0.018487724
y: -0.069689825
z: -0.05220621
","x: 0.0001714743
y: -0.004608207
z: -0.00023014746
","x: 0.013717112
y: -0.02615905
z: -0.01486559
","x: 0.029714849
y: -0.03945654
z: -0.03679082
","x: 0.04432978
y: -0.05239247
z: -0.073728725
"
"x: -0.026093995
y: 0.043912247
z: 0.04304474
","x: -0.045858204
y: 0.03044157
z: 0.026429694
","x: -0.06757607
y: 0.009639718
z: -0.005090128
","x: -0.09117833
y: -0.006719989
z: -0.012880638
","x: -0.015539218
y: -0.008047917
z: -0.00072036387
","x: -0.019900437
y: -0.03580873
z: -0.008938714
","x: -0.021142751
y: -0.052693386
z: -0.019283501
","x: -0.01829334
y: -0.06896705
z: -0.05229009
","x: -0.00012696371
y: -0.004408239
z: -0.000165325
","x: 0.013208928
y: -0.024864994
z: -0.016004559
","x: 0.029968502
y: -0.038147368
z: -0.03701352
","x: 0.045322645
y: -0.05145415
z: -0.07280084
"
"x: -0.026693389
y: 0.042693354
z: 0.04236446
","x: -0.046367314
y: 0.028785847
z: 0.026066741
","x: -0.06758506
y: 0.008704862
z: -0.0048624375
","x: -0.089636385
y: -0.007204292
z: -0.013645422
","x: -0.014414322
y: -0.009563227
z: -0.0005738712
","x: -0.01922757
y: -0.03694667
z: -0.007816099
","x: -0.0209604
y: -0.053554673
z: -0.017743351
","x: -0.016975373
y: -0.06995032
z: -0.04913291
","x: 0.00033567802
y: -0.0047753397
z: -0.00018175958
","x: 0.014223136
y: -0.026372684
z: -0.014917154
","x: 0.029893912
y: -0.03912965
z: -0.036641486
","x: 0.044503644
y: -0.05299539
z: -0.07310951
"
"x: -0.02827258
y: 0.04596485
z: 0.03879345
","x: -0.04681824
y: 0.03124826
z: 0.022234643
","x: -0.06665819
y: 0.008339997
z: -0.0074993023
","x: -0.08839834
y: -0.009321019
z: -0.0124420915
","x: -0.015064463
y: -0.008871819
z: -0.0007041434
","x: -0.017903902
y: -0.036850072
z: -0.007405182
","x: -0.01844361
y: -0.054724175
z: -0.01626802
","x: -0.014302474
y: -0.07074004
z: -0.047589794
","x: -7.535488e-05
y: -0.0047048153
z: -1.595785e-05
","x: 0.014679436
y: -0.02612103
z: -0.014691026
","x: 0.03146856
y: -0.03885399
z: -0.03521321
","x: 0.047507565
y: -0.0532415
z: -0.07021311
"
"x: -0.027460873
y: 0.043220576
z: 0.040916946
","x: -0.046267565
y: 0.028972425
z: 0.024597323
","x: -0.06616703
y: 0.0071343556
z: -0.0058926297
","x: -0.08772481
y: -0.0102208685
z: -0.013223706
","x: -0.014582964
y: -0.008805653
z: -0.0006833255
","x: -0.018086545
y: -0.036108233
z: -0.0082355095
","x: -0.018983569
y: -0.054138143
z: -0.01836917
","x: -0.015463184
y: -0.069847345
z: -0.05108685
","x: 0.00025214622
y: -0.004560248
z: -0.00032003527
","x: 0.015001079
y: -0.0258955
z: -0.014609122
","x: 0.030973895
y: -0.03890884
z: -0.036791768
","x: 0.045640804
y: -0.052907437
z: -0.07378936
"
"x: -0.028202213
y: 0.04405603
z: 0.038632777
","x: -0.047234755
y: 0.028670954
z: 0.022615237
","x: -0.0677315
y: 0.006479501
z: -0.0069106715
","x: -0.0884249
y: -0.011383255
z: -0.0123854
","x: -0.014962764
y: -0.008931651
z: -0.0011153771
","x: -0.01804803
y: -0.036945358
z: -0.007237328
","x: -0.018681196
y: -0.055541113
z: -0.016311515
","x: -0.01415293
y: -0.072281964
z: -0.047208868
","x: 0.00025030936
y: -0.004512908
z: -0.0002429118
","x: 0.0147604775
y: -0.02567216
z: -0.014586661
","x: 0.031499512
y: -0.037660014
z: -0.036494177
","x: 0.046585523
y: -0.0526039
z: -0.07263926
"
"x: -0.0285438
y: 0.043203924
z: 0.039823536
","x: -0.047856323
y: 0.028202498
z: 0.024970137
","x: -0.06688161
y: 0.005881656
z: -0.00437667
","x: -0.08812009
y: -0.012774387
z: -0.012167671
","x: -0.0145102255
y: -0.010098377
z: -0.00018351566
","x: -0.01753688
y: -0.037314683
z: -0.0063942107
","x: -0.017973851
y: -0.055298537
z: -0.01586043
","x: -0.01315541
y: -0.07181919
z: -0.04749404
","x: 0.00053012033
y: -0.0047361646
z: 7.942054e-05
","x: 0.01583107
y: -0.025921015
z: -0.014824604
","x: 0.03165736
y: -0.03748349
z: -0.035910092
","x: 0.045998424
y: -0.05134519
z: -0.07089947
"
"x: -0.029237166
y: 0.044767853
z: 0.039998233
","x: -0.048929695
y: 0.02847361
z: 0.023585843
","x: -0.06906445
y: 0.0060954597
z: -0.0056734434
","x: -0.088699326
y: -0.012598326
z: -0.013563349
","x: -0.015405536
y: -0.0102537945
z: 0.0007423991
","x: -0.017397003
y: -0.037574884
z: -0.0056043183
","x: -0.017112054
y: -0.05689478
z: -0.015414462
","x: -0.012430231
y: -0.07474088
z: -0.047402564
","x: 0.00038095406
y: -0.00489025
z: -0.00021878198
","x: 0.016268043
y: -0.024993885
z: -0.014738799
","x: 0.033077646
y: -0.03512996
z: -0.03714395
","x: 0.048074044
y: -0.04952885
z: -0.0731775
"
"x: -0.029025316
y: 0.04085565
z: 0.044940546
","x: -0.046575062
y: 0.025490697
z: 0.027299369
","x: -0.06581304
y: 0.0053308485
z: -0.0047112494
","x: -0.08650088
y: -0.013266027
z: -0.014261557
","x: -0.014801746
y: -0.010517503
z: -0.0005518698
","x: -0.016376674
y: -0.037427567
z: -0.008684828
","x: -0.0162566
y: -0.056610264
z: -0.019720921
","x: -0.0123085035
y: -0.07267166
z: -0.053496726
","x: 0.00024932454
y: -0.004867886
z: -0.00072143896
","x: 0.015922256
y: -0.025771175
z: -0.015612566
","x: 0.031953167
y: -0.036037758
z: -0.03983114
","x: 0.04624398
y: -0.0488616
z: -0.078767
"
"x: -0.027856002
y: 0.04081637
z: 0.04209934
","x: -0.047224037
y: 0.026349524
z: 0.025123227
","x: -0.066564985
y: 0.0055296617
z: -0.0052924403
","x: -0.08611369
y: -0.012562934
z: -0.014427624
","x: -0.014723244
y: -0.009829199
z: -0.0010822853
","x: -0.016409334
y: -0.037181217
z: -0.008021347
","x: -0.015377387
y: -0.05519553
z: -0.018482339
","x: -0.010191947
y: -0.07079084
z: -0.04976969
","x: 0.00024144986
y: -0.0043406435
z: -0.00038213088
","x: 0.017201772
y: -0.023185993
z: -0.015958564
","x: 0.033705264
y: -0.0333542
z: -0.04029292
","x: 0.050005294
y: -0.04494966
z: -0.07970511
"
"x: -0.030427681
y: 0.040621616
z: 0.04304037
","x: -0.04865363
y: 0.025278129
z: 0.025613775
","x: -0.066041596
y: 0.0035419473
z: -0.006039417
","x: -0.08543956
y: -0.01417459
z: -0.015385475
","x: -0.015055824
y: -0.011228899
z: -0.0007648711
","x: -0.016308816
y: -0.03890008
z: -0.009660659
","x: -0.016040541
y: -0.05588241
z: -0.019460281
","x: -0.012464265
y: -0.070900396
z: -0.052593015
","x: 0.00047409744
y: -0.005694235
z: -0.0005625845
","x: 0.01699467
y: -0.024865154
z: -0.015498576
","x: 0.03323081
y: -0.03585327
z: -0.038945384
","x: 0.049088616
y: -0.04752166
z: -0.078855745
"
"x: -0.030868221
y: 0.04566385
z: 0.038485225
","x: -0.048513256
y: 0.029259574
z: 0.0215743
","x: -0.06709013
y: 0.004999033
z: -0.008895022
","x: -0.08758825
y: -0.013783998
z: -0.014226011
","x: -0.0152816
y: -0.00953125
z: -0.0013331701
","x: -0.015226222
y: -0.037545532
z: -0.008240747
","x: -0.013607856
y: -0.056077957
z: -0.017970495
","x: -0.008575977
y: -0.07180694
z: -0.049970422
","x: 0.00014102401
y: -0.0050271726
z: -0.00036232368
","x: 0.016737165
y: -0.023643926
z: -0.015691707
","x: 0.03429779
y: -0.034583017
z: -0.039642632
","x: 0.051170565
y: -0.04590127
z: -0.07761496
"
"x: -0.030902952
y: 0.04253781
z: 0.04168729
","x: -0.049174957
y: 0.026115134
z: 0.024676887
","x: -0.068362534
y: 0.0040540267
z: -0.0064526713
","x: -0.087234326
y: -0.014628808
z: -0.013952857
","x: -0.014393703
y: -0.010663935
z: -0.00014388467
","x: -0.01595575
y: -0.038173534
z: -0.007075103
","x: -0.015672877
y: -0.056990016
z: -0.017466156
","x: -0.011499192
y: -0.07305287
z: -0.049856365
","x: 0.000596098
y: -0.005083884
z: -0.00046583207
","x: 0.017050322
y: -0.024822906
z: -0.016358618
","x: 0.03361123
y: -0.0343028
z: -0.039811637
","x: 0.04987879
y: -0.048026897
z: -0.0777813
"
"x: -0.031912364
y: 0.047322527
z: 0.034922753
","x: -0.0499266
y: 0.02883957
z: 0.019876843
","x: -0.07039557
y: 0.005271742
z: -0.008131515
","x: -0.0898172
y: -0.014349451
z: -0.01131847
","x: -0.015136611
y: -0.010494873
z: 0.00069928996
","x: -0.015903678
y: -0.03826062
z: -0.0039171325
","x: -0.013879734
y: -0.058418944
z: -0.0130071165
","x: -0.00712627
y: -0.074721135
z: -0.04324099
","x: 0.0005732842
y: -0.004637049
z: 0.00019566361
","x: 0.017557088
y: -0.024267944
z: -0.01413452
","x: 0.036497883
y: -0.034437317
z: -0.036776304
","x: 0.051544793
y: -0.048599586
z: -0.0709348
"
"x: -0.032283828
y: 0.048799414
z: 0.032186408
","x: -0.05156543
y: 0.029582614
z: 0.018333951
","x: -0.0711412
y: 0.0047020623
z: -0.008050198
","x: -0.08891586
y: -0.0150039755
z: -0.012018942
","x: -0.015283048
y: -0.011467379
z: 0.0023806938
","x: -0.016489511
y: -0.039797097
z: -0.0015096284
","x: -0.014940701
y: -0.05991114
z: -0.010214546
","x: -0.009114567
y: -0.076658204
z: -0.04038525
","x: 0.0007667966
y: -0.0055671595
z: 0.0011052653
","x: 0.018802376
y: -0.026333444
z: -0.012153067
","x: 0.03723092
y: -0.03599071
z: -0.033516597
","x: 0.05187208
y: -0.04980491
z: -0.06573765
"
"x: -0.032383807
y: 0.045676965
z: 0.036766395
","x: -0.051246203
y: 0.027567882
z: 0.020730134
","x: -0.06957246
y: 0.004933263
z: -0.0075340504
","x: -0.088159405
y: -0.014584432
z: -0.013191121
","x: -0.014809873
y: -0.01137746
z: 0.0004222707
","x: -0.015903354
y: -0.03783995
z: -0.0037961863
","x: -0.01556832
y: -0.05927543
z: -0.012844273
","x: -0.009869633
y: -0.074888684
z: -0.044736654
","x: 0.0009686684
y: -0.004863749
z: 0.00022000169
","x: 0.017666718
y: -0.024917355
z: -0.014251458
","x: 0.034891434
y: -0.035013024
z: -0.03838665
","x: 0.04922454
y: -0.050460763
z: -0.072599865
"
"x: -0.032596566
y: 0.04773493
z: 0.032764915
","x: -0.050569072
y: 0.028824877
z: 0.019085577
","x: -0.07081972
y: 0.005132393
z: -0.0076140137
","x: -0.089556746
y: -0.014472211
z: -0.010717014
","x: -0.014275894
y: -0.010665939
z: 0.0021552881
","x: -0.015716063
y: -0.038457792
z: -0.0016446317
","x: -0.01435334
y: -0.059002977
z: -0.009735688
","x: -0.008972726
y: -0.07642978
z: -0.040090464
","x: 0.0008300988
y: -0.004966848
z: 0.00064524467
","x: 0.018365461
y: -0.025879713
z: -0.012941384
","x: 0.037104018
y: -0.03639103
z: -0.03333086
","x: 0.051511858
y: -0.051920537
z: -0.065684974
"
